sentence,label
move 1 degree towards left,"0,-1,0"
move 2 degree towards left,"0,-2,0"
move 3 degree towards left,"0,-3,0"
move 4 degree towards left,"0,-4,0"
move 5 degree towards left,"0,-5,0"
move 6 degree towards left,"0,-6,0"
move 7 degree towards left,"0,-7,0"
move 8 degree towards left,"0,-8,0"
move 9 degree towards left,"0,-9,0"
move 10 degree towards left,"0,-10,0"
move 11 degree towards left,"0,-11,0"
move 12 degree towards left,"0,-12,0"
move 13 degree towards left,"0,-13,0"
move 14 degree towards left,"0,-14,0"
move 15 degree towards left,"0,-15,0"
move 16 degree towards left,"0,-16,0"
move 17 degree towards left,"0,-17,0"
move 18 degree towards left,"0,-18,0"
move 19 degree towards left,"0,-19,0"
move 20 degree towards left,"0,-20,0"
move 21 degree towards left,"0,-21,0"
move 22 degree towards left,"0,-22,0"
move 23 degree towards left,"0,-23,0"
move 24 degree towards left,"0,-24,0"
move 25 degree towards left,"0,-25,0"
move 26 degree towards left,"0,-26,0"
move 27 degree towards left,"0,-27,0"
move 28 degree towards left,"0,-28,0"
move 29 degree towards left,"0,-29,0"
move 30 degree towards left,"0,-30,0"
move 31 degree towards left,"0,-31,0"
move 32 degree towards left,"0,-32,0"
move 33 degree towards left,"0,-33,0"
move 34 degree towards left,"0,-34,0"
move 35 degree towards left,"0,-35,0"
move 36 degree towards left,"0,-36,0"
move 37 degree towards left,"0,-37,0"
move 38 degree towards left,"0,-38,0"
move 39 degree towards left,"0,-39,0"
move 40 degree towards left,"0,-40,0"
move 41 degree towards left,"0,-41,0"
move 42 degree towards left,"0,-42,0"
move 43 degree towards left,"0,-43,0"
move 44 degree towards left,"0,-44,0"
move 45 degree towards left,"0,-45,0"
move 46 degree towards left,"0,-46,0"
move 47 degree towards left,"0,-47,0"
move 48 degree towards left,"0,-48,0"
move 49 degree towards left,"0,-49,0"
move 50 degree towards left,"0,-50,0"
move 51 degree towards left,"0,-51,0"
move 52 degree towards left,"0,-52,0"
move 53 degree towards left,"0,-53,0"
move 54 degree towards left,"0,-54,0"
move 55 degree towards left,"0,-55,0"
move 56 degree towards left,"0,-56,0"
move 57 degree towards left,"0,-57,0"
move 58 degree towards left,"0,-58,0"
move 59 degree towards left,"0,-59,0"
move 60 degree towards left,"0,-60,0"
move 61 degree towards left,"0,-61,0"
move 62 degree towards left,"0,-62,0"
move 63 degree towards left,"0,-63,0"
move 64 degree towards left,"0,-64,0"
move 65 degree towards left,"0,-65,0"
move 66 degree towards left,"0,-66,0"
move 67 degree towards left,"0,-67,0"
move 68 degree towards left,"0,-68,0"
move 69 degree towards left,"0,-69,0"
move 70 degree towards left,"0,-70,0"
move 71 degree towards left,"0,-71,0"
move 72 degree towards left,"0,-72,0"
move 73 degree towards left,"0,-73,0"
move 74 degree towards left,"0,-74,0"
move 75 degree towards left,"0,-75,0"
move 76 degree towards left,"0,-76,0"
move 77 degree towards left,"0,-77,0"
move 78 degree towards left,"0,-78,0"
move 79 degree towards left,"0,-79,0"
move 80 degree towards left,"0,-80,0"
move 81 degree towards left,"0,-81,0"
move 82 degree towards left,"0,-82,0"
move 83 degree towards left,"0,-83,0"
move 84 degree towards left,"0,-84,0"
move 85 degree towards left,"0,-85,0"
move 86 degree towards left,"0,-86,0"
move 87 degree towards left,"0,-87,0"
move 88 degree towards left,"0,-88,0"
move 89 degree towards left,"0,-89,0"
move 90 degree towards left,"0,-90,0"
move 91 degree towards left,"0,-91,0"
move 92 degree towards left,"0,-92,0"
move 93 degree towards left,"0,-93,0"
move 94 degree towards left,"0,-94,0"
move 95 degree towards left,"0,-95,0"
move 96 degree towards left,"0,-96,0"
move 97 degree towards left,"0,-97,0"
move 98 degree towards left,"0,-98,0"
move 99 degree towards left,"0,-99,0"
move 100 degree towards left,"0,-100,0"
move 101 degree towards left,"0,-101,0"
move 102 degree towards left,"0,-102,0"
move 103 degree towards left,"0,-103,0"
move 104 degree towards left,"0,-104,0"
move 105 degree towards left,"0,-105,0"
move 106 degree towards left,"0,-106,0"
move 107 degree towards left,"0,-107,0"
move 108 degree towards left,"0,-108,0"
move 109 degree towards left,"0,-109,0"
move 110 degree towards left,"0,-110,0"
move 111 degree towards left,"0,-111,0"
move 112 degree towards left,"0,-112,0"
move 113 degree towards left,"0,-113,0"
move 114 degree towards left,"0,-114,0"
move 115 degree towards left,"0,-115,0"
move 116 degree towards left,"0,-116,0"
move 117 degree towards left,"0,-117,0"
move 118 degree towards left,"0,-118,0"
move 119 degree towards left,"0,-119,0"
move 120 degree towards left,"0,-120,0"
move 121 degree towards left,"0,-121,0"
move 122 degree towards left,"0,-122,0"
move 123 degree towards left,"0,-123,0"
move 124 degree towards left,"0,-124,0"
move 125 degree towards left,"0,-125,0"
move 126 degree towards left,"0,-126,0"
move 127 degree towards left,"0,-127,0"
move 128 degree towards left,"0,-128,0"
move 129 degree towards left,"0,-129,0"
move 130 degree towards left,"0,-130,0"
move 131 degree towards left,"0,-131,0"
